Aggradational_Lacustrine_Shoreface,Aggradational_Marine_Shoreface,Alluvial_Fan,Crevasse_Splay,Distal_Lacustrine_Turbidites,Distal_Marine_Turbidites,Distal_Sub-Lacustrine_Fan,Distal_Submarine_Fan,Fluvial_Channel,Fluvial_Floodplain,Fluvial_Point_Bar,Lacustrine_Deepwater,Lacustrine_Fan_Delta,Lacustrine_Offshore_Transition,Lacustrine_Shelf,Lacustrine_Turbidite,Lagoon,Levee,Marine_Deepwater,Marine_Delta,Marine_Fan_Delta,Marine_Offshore_Transition,Marine_Shelf,Marine_Turbidite,Mixed_Tidal_Flat,Most,Most_Prob,Muddy_Tidal_Flat,Progradational_Lacustrine_Delta,Progradational_Lacustrine_Shoreface,Progradational_Marine_Shoreface,Proximal_Sub-Lacustrine_Fan,Proximal_Submarine_Fan,Sandy_Tidal_Flat,Second_Most,Second_Most_Prob,Third_Most,Third_Most_Prob,Tidal_Channel_And_Sand_Flat,Transgressive_Lacustrine_Shoreface,Transgressive_Marine_Shoreface,Uncertainty_flag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,Sandy_Tidal_Flat,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,Transgressive_Marine_Shoreface,0.3333333333333333,Marine_Turbidite,0.1875,0.0,0.0,0.3333333333333333,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,Sandy_Tidal_Flat,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,Transgressive_Marine_Shoreface,0.3333333333333333,Marine_Turbidite,0.1875,0.0,0.0,0.3333333333333333,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,Sandy_Tidal_Flat,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,Transgressive_Marine_Shoreface,0.3333333333333333,Marine_Turbidite,0.1875,0.0,0.0,0.3333333333333333,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,Sandy_Tidal_Flat,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,Transgressive_Marine_Shoreface,0.3333333333333333,Marine_Turbidite,0.1875,0.0,0.0,0.3333333333333333,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,Sandy_Tidal_Flat,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,Transgressive_Marine_Shoreface,0.3333333333333333,Marine_Turbidite,0.1875,0.0,0.0,0.3333333333333333,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.0,0.08536585365853659,0.0,0.0,0.0,0.25609756097560976,0.0,0.0,Muddy_Tidal_Flat,0.34146341463414637,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3170731707317073,Marine_Shelf,0.25609756097560976,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,0.10989010989010989,0.0,0.0,0.0,0.25274725274725274,0.0,0.0,Muddy_Tidal_Flat,0.32967032967032966,0.32967032967032966,0.0,0.0,0.0,0.0,0.0,0.0,Lagoon,0.3076923076923077,Marine_Shelf,0.25274725274725274,0.0,0.0,0.0,2
